case,particles,x_points,steps,dt,runtime,l2_reference_error,interface_reference_error,l2_error,interface_error,interface_position,exact_interface
uniform_coarse,63,21,175,0.022857142857142857,0.008541500079445541,1.1423905044117573,0.0009287786192003647,1.0307712475285336,0.0009927130774421398,0.0014291488579141246,0.0004364357804719848
interface_refined,189,63,175,0.022857142857142857,0.02495310001540929,0.0012796197420458337,9.420133943727205e-14,0.3671593992153621,6.393445814757378e-05,0.0005003702386195586,0.0004364357804719848
uniform_fine,603,201,175,0.022857142857142857,0.07986189995426685,0.0,0.0,0.36710939047246316,6.393445824177512e-05,0.0005003702387137599,0.0004364357804719848
